"Rank","Title","Description","Runtime","Genre","Rating","Metascore","Votes","Gross_Earning_in_Mil","Director","Actor"
80,"Insidious: The Last Key","Parapsychologist Dr. Elise Rainier faces her most fearsome and personal haunting yet, as she is drawn back to her ghostly childhood home, where the terror began.",103,"Horror",5.7,49,54651,67.75,"Adam Robitel","Lin Shaye"
81,"Isle of Dogs","Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog.",101,"Animation",7.9,82,146106,32.02,"Wes Anderson","Bryan Cranston"
82,"Parallel","A group of friends stumble upon a mirror that serves as a portal to a ""multiverse"", but soon discover that importing knowledge from the other side in order to better their lives brings increasingly dangerous consequences.",104,"Drama",5.8,NA,1745,NA,"Isaac Ezban","Aml Ameen"
83,"The First Purge","America's third political party, the New Founding Fathers of America, comes to power and conducts an experiment: no laws for 12 hours on Staten Island. No one has to stay on the island, but $5,000 is given to anyone who does.",97,"Action",5.2,54,57093,69.49,"Gerard McMurray","Y'lan Noel"
84,"Searching","After his teenage daughter goes missing, a desperate father tries to find clues on her laptop.",102,"Drama",7.6,71,147140,26.02,"Aneesh Chaganty","John Cho"
85,"Adrift","A true story of survival, as a young couple's chance encounter leads them first to love, and then on the adventure of a lifetime as they face one of the most catastrophic hurricanes in recorded history.",96,"Action",6.6,56,49972,31.45,"Baltasar Korm¨¢kur","Shailene Woodley"
86,"Halloween","Laurie Strode confronts her long-time foe Michael Myers, the masked figure who has haunted her since she narrowly escaped his killing spree on Halloween night four decades ago.",106,"Crime",6.5,67,124934,159.3,"David Gordon Green","Jamie Lee Curtis"
87,"Monster","A smart, likeable, 17-year-old film student from Harlem sees his world turned upside down when he's charged with a murder. We follow his dramatic journey through a complex legal battle.",98,"Crime",6.5,56,3738,NA,"Anthony Mandler","ASAP Rocky"
88,"Welcome to Marwen","A victim of a brutal attack finds a unique and beautiful therapeutic outlet to help him through his recovery process.",116,"Biography",6.2,40,21329,10.76,"Robert Zemeckis","Steve Carell"
89,"Tumbbad","A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.",104,"Drama",8.3,NA,33330,NA,"Rahi Anil Barve","Sohum Shah"
90,"Beoning","Jong-su bumps into a girl who used to live in the same neighborhood, who asks him to look after her cat while she's on a trip to Africa. When back, she introduces Ben, a mysterious guy she met there, who confesses his secret hobby.",148,"Drama",7.5,90,53954,0.72,"Chang-dong Lee","Yoo Ah-in"
91,"Apostle","In 1905, a drifter on a dangerous mission to rescue his kidnapped sister tangles with a sinister religious cult on an isolated island.",130,"Drama",6.3,62,46115,NA,"Gareth Evans","Dan Stevens"
92,"Outlaw King","A true David vs. Goliath story of how the 14th century Scottish 'Outlaw King' Robert the Bruce used cunning and bravery to defeat the much larger and better equipped occupying English army.",121,"Action",6.9,59,63159,NA,"David Mackenzie","Chris Pine"
93,"Between Earth and Sky","A father and daughter are on their way to dance camp when they spot the girl's best friend on the side of the road. When they stop to offer the friend a ride, their good intentions soon result in terrible consequences.",97,"Crime",5.8,45,13509,NA,"Veena Sud","Peter Sarsgaard"
94,"Trial by Fire","The tragic and controversial story of Cameron Todd Willingham, who was executed in Texas for killing his three children after scientific evidence and expert testimony that bolstered his claims of innocence were suppressed.",127,"Biography",7,51,6860,0.15,"Edward Zwick","Jack O'Connell"
95,"The Equalizer 2","Robert McCall serves an unflinching justice for the exploited and oppressed, but how far will he go when that is someone he loves?",121,"Action",6.7,50,140261,102,"Antoine Fuqua","Denzel Washington"
96,"The Wind","A plains-woman faces the harshness and isolation of the untamed land in the Western frontier of the late 1800s.",88,"Horror",5.6,66,6715,0.03,"Emma Tammi","Caitlin Gerard"
97,"London Fields","Clairvoyant femme fatale Nicola Six has been living with a dark premonition of her impending death by murder. She begins a tangled love affair with three uniquely different men: one of whom she knows will be her murderer.",118,"Crime",4,16,7653,0.25,"Mathew Cullen","Gemma Chan"
98,"The Nightingale","Set in 1825, Clare, a young Irish convict woman, chases a British officer through the rugged Tasmanian wilderness, bent on revenge for a terrible act of violence he committed against her family. On the way she enlists the services of an Aboriginal tracker named Billy, who is also marked by trauma from his own violence-filled past.",136,"Adventure",7.3,77,23757,0.39,"Jennifer Kent","Aisling Franciosi"
99,"Mid90s","Follows Stevie, a thirteen-year-old in 1990s-era Los Angeles who spends his summer navigating between his troubled home life and a group of new friends that he meets at a Motor Avenue skate shop.",85,"Comedy",7.4,66,53674,7.36,"Jonah Hill","Sunny Suljic"
100,"First Man","A look at the life of the astronaut, Neil Armstrong, and the legendary space mission that led him to become the first man to walk on the Moon on July 20, 1969.",141,"Biography",7.3,84,175197,44.94,"Damien Chazelle","Ryan Gosling"
